record_id,year,month,quarter,country,area_type,ev_brand,ev_model,ev_type,vehicle_segment,buyer_type,price_usd,government_incentive_type,incentive_amount_usd,effective_price_usd,range_km,battery_capacity_kwh,primary_charging_type,charging_time_hours,charging_station_access,annual_mileage_km,electricity_cost_per_km_usd,co2_savings_kg_per_year,resale_value_pct_3yr,adas_level,adoption_reason,previous_vehicle_type,top_concern_before_buying,customer_gender,customer_age_group,customer_satisfaction,would_recommend
EV0002821,2020,11,Q4,UK,Urban,Tesla,Model 3,Hybrid Electric (HEV),Sports Car,Individual,63274,Reduced Registration Fee,1272,62002,45,4.5,Home Charging,6.1,Average,29754,0.041,559,68.9,Level 3,Lower Running Cost,Hybrid,None/No Concern,Male,25-34,Satisfied,Yes
EV0002822,2023,12,Q4,Italy,Urban,Kia,EV9,Hybrid Electric (HEV),SUV,Individual,44496,None,0,44496,53,5.0,Home Charging,11.1,Average,11781,0.071,713,62.2,Level 2+,Environmental Concern,Petrol/Gasoline ICE,None/No Concern,Female,35-44,Satisfied,No
EV0002823,2023,2,Q1,South Korea,Suburban,Polestar,Polestar 2,Battery Electric Vehicle (BEV),SUV,Individual,59083,Direct Subsidy,10113,48970,343,94.7,Supercharger Network,0.9,Good,11594,0.054,2515,77.6,Level 3,Environmental Concern,Diesel ICE,High Price,Female,25-34,Very Satisfied,Yes
EV0002824,2021,3,Q1,Australia,Suburban,Chevrolet,Bolt EV,Plug-in Hybrid (PHEV),SUV,Individual,41124,None,0,41124,84,11.4,Public AC Charging,4.8,Excellent,34740,0.041,754,72.8,Level 0,Brand Image,Hybrid,Charging Infrastructure,Male,35-44,Satisfied,Yes
EV0002825,2021,10,Q4,China,Urban,BYD,Seal,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,27541,None,0,27541,59,11.9,Workplace Charging,4.2,Excellent,10266,0.066,1343,55.1,Level 2+,Environmental Concern,Hybrid,Range Anxiety,Male,25-34,Neutral,Yes
EV0002826,2020,11,Q4,Netherlands,Suburban,Hyundai,Kona Electric,Hybrid Electric (HEV),SUV,Government,48055,Multiple Incentives,6103,41952,53,3.8,Home Charging,8.2,Excellent,24015,0.106,299,67.3,Level 2+,Performance,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Very Satisfied,No
EV0002827,2022,3,Q1,Australia,Suburban,Volkswagen,ID.Buzz,Hybrid Electric (HEV),Hatchback,Individual,30620,Free Charging,2565,28055,30,7.7,DC Fast Charging,1.1,Excellent,14089,0.046,681,72.0,Level 3,Environmental Concern,Hybrid,Battery Life,Male,35-44,Satisfied,Yes
EV0002828,2021,12,Q4,Brazil,Urban,MG Motor,MG 4,Plug-in Hybrid (PHEV),Hatchback,Individual,19400,Tax Credit,2638,16762,62,18.8,DC Fast Charging,0.7,Good,17616,0.098,673,51.3,Level 2,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Female,25-34,Satisfied,No
EV0002829,2023,8,Q3,Canada,Urban,Tesla,Model X,Battery Electric Vehicle (BEV),SUV,Individual,48360,Reduced Registration Fee,2799,45561,565,114.8,Public AC Charging,4.1,Average,19881,0.068,1893,64.3,Level 0,Environmental Concern,Hybrid,Charging Infrastructure,Male,35-44,Dissatisfied,Maybe
EV0002830,2020,11,Q4,Canada,Urban,BYD,Tang,Plug-in Hybrid (PHEV),Hatchback,Individual,22105,Multiple Incentives,5916,16189,64,17.6,Home Charging,9.8,Poor,18489,0.074,1214,57.3,Level 3,Environmental Concern,Hybrid,High Price,Prefer not to say,25-34,Satisfied,Yes
EV0002831,2024,11,Q4,India,Suburban,Kia,EV6,Battery Electric Vehicle (BEV),Pickup Truck,Individual,44228,None,0,44228,378,43.9,Home Charging,6.5,Average,35384,0.099,2755,65.5,Level 2+,Environmental Concern,Diesel ICE,Charging Time,Female,45-54,Very Satisfied,No
EV0002832,2023,4,Q2,Brazil,Suburban,Tesla,Model S,Plug-in Hybrid (PHEV),Sports Car,Individual,52839,Multiple Incentives,18397,34442,109,23.4,Workplace Charging,4.8,Average,28207,0.058,1901,75.6,Level 3,Lower Running Cost,Hybrid,Charging Infrastructure,Male,25-34,Very Satisfied,Maybe
EV0002833,2021,10,Q4,Norway,Suburban,Kia,EV6,Battery Electric Vehicle (BEV),Pickup Truck,Individual,45223,None,0,45223,382,105.8,DC Fast Charging,0.4,Good,7222,0.047,1900,64.7,Level 2,Performance,Petrol/Gasoline ICE,High Price,Male,35-44,Satisfied,Maybe
EV0002834,2021,12,Q4,China,Urban,Volkswagen,ID.3,Battery Electric Vehicle (BEV),Hatchback,Individual,31238,Tax Credit,3485,27753,642,70.4,Home Charging,8.1,Poor,19396,0.04,2187,49.2,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Male,45-54,Very Satisfied,Yes
EV0002835,2024,1,Q1,China,Rural,Volkswagen,ID.6,Battery Electric Vehicle (BEV),Hatchback,Individual,29070,None,0,29070,347,63.3,Workplace Charging,5.8,Excellent,18433,0.054,3382,65.4,Level 3,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Male,35-44,Neutral,Yes
EV0002836,2023,9,Q3,Spain,Rural,BYD,Seal,Battery Electric Vehicle (BEV),Sedan,Rental Company,25820,Tax Credit,2520,23300,292,58.0,Workplace Charging,4.2,Good,22107,0.025,2466,53.9,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Range Anxiety,Female,45-54,Neutral,Yes
EV0002837,2024,11,Q4,South Korea,Suburban,BYD,Tang,Battery Electric Vehicle (BEV),Sedan,Individual,24828,None,0,24828,546,71.2,Home Charging,6.1,Poor,25291,0.089,1626,77.8,Level 2,Performance,Petrol/Gasoline ICE,Charging Infrastructure,Male,55-64,Satisfied,Maybe
EV0002838,2023,7,Q3,USA,Suburban,Renault,Kangoo E-Tech,Plug-in Hybrid (PHEV),Van/MPV,Rideshare/Taxi,26985,Tax Credit,7107,19878,46,11.0,Public AC Charging,3.4,Excellent,32263,0.027,1213,50.3,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Resale Value,Male,25-34,Neutral,Maybe
EV0002839,2023,1,Q1,France,Urban,Tesla,Model 3,Hybrid Electric (HEV),Sedan,Government,39398,Tax Credit,2791,36607,45,5.7,Home Charging,7.0,Good,31908,0.091,687,56.6,Level 1,Environmental Concern,First Vehicle,Range Anxiety,Prefer not to say,35-44,Very Satisfied,Yes
EV0002840,2020,10,Q4,Japan,Urban,Ford,E-Transit,Battery Electric Vehicle (BEV),Sedan,Government,45775,None,0,45775,580,98.0,Home Charging,8.7,Poor,16923,0.114,2281,51.2,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Very Satisfied,Yes
EV0002841,2024,7,Q3,UAE,Urban,Mercedes-Benz,EQA,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,87563,Direct Subsidy,13574,73989,643,51.4,Home Charging,11.9,Average,11195,0.113,2300,77.4,Level 3,Environmental Concern,Diesel ICE,Range Anxiety,Female,25-34,Satisfied,Maybe
EV0002842,2022,12,Q4,Austria,Urban,Kia,EV6,Battery Electric Vehicle (BEV),Van/MPV,Rideshare/Taxi,40623,Tax Credit,6017,34606,467,45.2,Home Charging,6.9,Poor,16907,0.097,3849,48.4,Level 3,Environmental Concern,Diesel ICE,Charging Time,Prefer not to say,55-64,Satisfied,No
EV0002843,2024,4,Q2,Spain,Suburban,BMW,i7,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,79475,Multiple Incentives,5552,73923,323,74.1,DC Fast Charging,0.7,Average,30709,0.116,3915,68.5,Level 2+,Corporate Policy,Hybrid,Battery Life,Male,35-44,Very Satisfied,Yes
EV0002844,2020,12,Q4,India,Suburban,Volkswagen,ID.Buzz,Plug-in Hybrid (PHEV),Luxury,Rideshare/Taxi,58990,Direct Subsidy,3965,55025,98,12.4,Workplace Charging,8.0,Average,48398,0.077,1876,57.7,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,45-54,Satisfied,Maybe
EV0002845,2024,11,Q4,UK,Suburban,BYD,Tang,Battery Electric Vehicle (BEV),Hatchback,Individual,20254,Reduced Registration Fee,2012,18242,536,45.3,Home Charging,6.2,Good,17186,0.067,2581,67.6,Level 2,Corporate Policy,Petrol/Gasoline ICE,Battery Life,Male,35-44,Very Satisfied,Yes
EV0002846,2024,12,Q4,UK,Urban,Volkswagen,ID.6,Hybrid Electric (HEV),SUV,Individual,42217,Reduced Registration Fee,2182,40035,25,5.2,Public AC Charging,3.6,Good,11834,0.023,556,69.1,Level 3,Environmental Concern,Diesel ICE,Range Anxiety,Male,25-34,Very Satisfied,Maybe
EV0002847,2021,11,Q4,USA,Urban,BMW,i7,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,68234,Direct Subsidy,6270,61964,66,19.5,Home Charging,9.6,Poor,12911,0.029,1461,46.3,Level 2+,Government Incentive,Petrol/Gasoline ICE,Resale Value,Female,55-64,Satisfied,Maybe
EV0002848,2021,8,Q3,USA,Suburban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),Sports Car,Individual,55821,Free Charging,2887,52934,354,104.0,Public AC Charging,2.5,Excellent,26361,0.032,4300,52.7,Level 1,Lower Running Cost,Hybrid,None/No Concern,Female,45-54,Satisfied,Maybe
EV0002849,2022,9,Q3,France,Suburban,Polestar,Polestar 2,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,58272,Tax Credit,5182,53090,118,23.5,Public AC Charging,3.8,Good,13814,0.116,921,74.4,Level 2,Brand Image,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Satisfied,Maybe
EV0002850,2024,11,Q4,India,Urban,Hyundai,Kona Electric,Hybrid Electric (HEV),SUV,Individual,47817,Tax Credit,3254,44563,57,6.0,Supercharger Network,0.2,Average,9895,0.061,730,69.5,Level 3,Environmental Concern,Diesel ICE,Charging Infrastructure,Male,18-24,Satisfied,Yes
EV0002851,2023,4,Q2,Netherlands,Suburban,Rivian,R1T,Plug-in Hybrid (PHEV),SUV,Rental Company,71662,None,0,71662,51,23.6,Home Charging,7.8,Excellent,35524,0.059,1075,47.2,Level 2,Government Incentive,Petrol/Gasoline ICE,Resale Value,Female,45-54,Very Dissatisfied,Yes
EV0002852,2022,10,Q4,Germany,Suburban,MG Motor,MG ZS EV,Plug-in Hybrid (PHEV),SUV,Individual,27148,Tax Credit,3067,24081,87,13.4,Home Charging,9.0,Good,12826,0.103,1264,71.6,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,High Price,Male,25-34,Satisfied,Yes
EV0002853,2023,8,Q3,USA,Rural,Hyundai,Kona Electric,Battery Electric Vehicle (BEV),Hatchback,Individual,30137,Reduced Registration Fee,969,29168,565,115.9,Public AC Charging,5.2,Good,12464,0.06,3351,58.8,Level 3,Performance,Petrol/Gasoline ICE,None/No Concern,Male,35-44,Dissatisfied,Yes
EV0002854,2023,5,Q2,China,Suburban,BMW,iX,Battery Electric Vehicle (BEV),SUV,Individual,66562,Tax Credit,3343,63219,346,52.2,Home Charging,9.5,Average,12446,0.084,3277,52.2,Level 3,Government Incentive,Diesel ICE,Range Anxiety,Female,35-44,Neutral,Yes
EV0002855,2021,12,Q4,Netherlands,Suburban,BYD,Dolphin,Battery Electric Vehicle (BEV),Hatchback,Individual,20815,Reduced Registration Fee,2818,17997,311,61.5,DC Fast Charging,1.5,Excellent,29959,0.091,3047,72.8,Level 3,Lower Running Cost,Petrol/Gasoline ICE,High Price,Male,45-54,Satisfied,Yes
EV0002856,2021,2,Q1,India,Suburban,Tesla,Model Y,Battery Electric Vehicle (BEV),SUV,Rideshare/Taxi,49948,None,0,49948,657,79.4,DC Fast Charging,0.9,Average,7592,0.053,3603,68.1,Level 2,Environmental Concern,Another EV,Range Anxiety,Female,25-34,Satisfied,Yes
EV0002857,2022,1,Q1,Norway,Urban,Tesla,Model Y,Hybrid Electric (HEV),SUV,Individual,49611,Multiple Incentives,7006,42605,42,4.7,Supercharger Network,0.8,Average,12501,0.111,195,55.7,Level 2,Environmental Concern,Hybrid,High Price,Female,35-44,Neutral,Yes
EV0002858,2024,8,Q3,UK,Suburban,Tata Motors,Nexon EV,Hybrid Electric (HEV),SUV,Fleet/Corporate,18685,Direct Subsidy,6247,12438,49,4.5,Home Charging,6.8,Average,18450,0.107,387,56.7,Level 1,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,18-24,Very Satisfied,No
EV0002859,2024,6,Q2,Sweden,Urban,BYD,Seal,Plug-in Hybrid (PHEV),Pickup Truck,Individual,32136,Tax Credit,3409,28727,72,16.1,Public AC Charging,3.3,Average,7628,0.022,981,72.4,Level 2,Environmental Concern,Petrol/Gasoline ICE,High Price,Male,25-34,Satisfied,Yes
EV0002860,2023,7,Q3,China,Suburban,Volkswagen,ID.Buzz,Hybrid Electric (HEV),Hatchback,Individual,31130,Multiple Incentives,13870,17260,34,4.2,DC Fast Charging,0.7,Poor,29412,0.074,245,53.2,Level 3,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Satisfied,Maybe
EV0002861,2023,6,Q2,Denmark,Urban,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Van/MPV,Rental Company,63442,Tax Credit,6450,56992,396,105.8,DC Fast Charging,1.4,Average,13562,0.07,3572,78.6,Level 2+,Environmental Concern,Diesel ICE,Range Anxiety,Female,35-44,Satisfied,No
EV0002862,2024,10,Q4,USA,Urban,Rivian,R1S,Hybrid Electric (HEV),Pickup Truck,Rideshare/Taxi,84069,None,0,84069,41,4.7,Supercharger Network,0.6,Good,13764,0.033,723,63.5,Level 2,Performance,Hybrid,None/No Concern,Male,25-34,Neutral,Maybe
EV0002863,2020,11,Q4,UK,Urban,Tesla,Model 3,Hybrid Electric (HEV),SUV,Individual,55280,Tax Credit,6519,48761,33,2.2,DC Fast Charging,1.0,Average,5645,0.072,459,60.3,Level 2,Environmental Concern,First Vehicle,Resale Value,Female,35-44,Very Satisfied,Yes
EV0002864,2020,4,Q2,China,Rural,BYD,Atto 3,Hybrid Electric (HEV),Sedan,Individual,30078,Direct Subsidy,9891,20187,46,5.0,Public AC Charging,5.3,Excellent,15893,0.092,699,79.7,Level 1,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,45-54,Neutral,Yes
EV0002865,2020,6,Q2,Norway,Suburban,MG Motor,MG ZS EV,Battery Electric Vehicle (BEV),SUV,Individual,28277,Free Charging,2344,25933,350,107.0,Public AC Charging,4.7,Average,27868,0.027,4337,55.9,Level 2,Government Incentive,First Vehicle,Range Anxiety,Male,25-34,Satisfied,No
EV0002866,2023,2,Q1,Germany,Urban,Nissan,Ariya,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,23657,Reduced Registration Fee,1321,22336,522,85.5,Home Charging,8.0,Very Poor,15120,0.049,4445,47.8,Level 2,Environmental Concern,First Vehicle,Range Anxiety,Male,45-54,Very Satisfied,No
EV0002867,2021,4,Q2,Japan,Urban,Polestar,Polestar 3,Battery Electric Vehicle (BEV),Van/MPV,Individual,49695,Free Charging,946,48749,627,95.6,Home Charging,9.0,Good,22038,0.036,2197,49.6,Level 1,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Female,45-54,Very Dissatisfied,Yes
EV0002868,2022,12,Q4,UK,Urban,Stellantis,Jeep Avenger,Plug-in Hybrid (PHEV),Sedan,Individual,26957,Direct Subsidy,5275,21682,53,16.8,Home Charging,7.8,Good,16054,0.02,1409,47.1,Level 3,Government Incentive,Petrol/Gasoline ICE,None/No Concern,Male,35-44,Satisfied,Yes
EV0002869,2023,5,Q2,Japan,Rural,Tesla,Model S,Hybrid Electric (HEV),SUV,Rideshare/Taxi,48811,Tax Credit,5290,43521,41,7.7,Supercharger Network,0.9,Poor,19258,0.06,143,65.4,Level 2,Lower Running Cost,Another EV,None/No Concern,Male,35-44,Satisfied,Yes
EV0002870,2023,7,Q3,UK,Suburban,Mercedes-Benz,EQB,Battery Electric Vehicle (BEV),SUV,Individual,89196,Multiple Incentives,15614,73582,487,50.6,DC Fast Charging,1.3,Poor,20086,0.094,4047,57.2,Level 1,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Female,45-54,Satisfied,No
EV0002871,2024,11,Q4,Canada,Urban,Tesla,Model S,Battery Electric Vehicle (BEV),SUV,Individual,46858,Tax Credit,3142,43716,729,105.7,Public AC Charging,2.1,Excellent,45165,0.048,3187,57.7,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Range Anxiety,Male,45-54,Neutral,Yes
EV0002872,2023,4,Q2,Germany,Urban,Mercedes-Benz,EQS,Battery Electric Vehicle (BEV),Sedan,Fleet/Corporate,77468,None,0,77468,509,85.0,DC Fast Charging,1.0,Very Poor,54260,0.106,3189,55.6,Level 2,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Satisfied,Maybe
EV0002873,2023,5,Q2,UK,Urban,Mercedes-Benz,EQA,Plug-in Hybrid (PHEV),SUV,Individual,83029,Reduced Registration Fee,1339,81690,91,16.0,Public AC Charging,4.1,Average,15255,0.052,542,60.2,Level 2,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Female,35-44,Very Dissatisfied,Yes
EV0002874,2024,10,Q4,Netherlands,Rural,Hyundai,IONIQ 6,Hybrid Electric (HEV),SUV,Fleet/Corporate,46813,Tax Credit,7194,39619,43,5.3,Home Charging,8.7,Good,16667,0.089,771,64.2,Level 0,Environmental Concern,Hybrid,Charging Infrastructure,Female,25-34,Very Satisfied,Maybe
EV0002875,2023,8,Q3,Australia,Urban,NIO,ET7,Battery Electric Vehicle (BEV),Sedan,Fleet/Corporate,44360,Tax Credit,2684,41676,373,80.6,Home Charging,7.4,Good,26064,0.027,3668,53.3,Level 1,Environmental Concern,Petrol/Gasoline ICE,High Price,Male,25-34,Neutral,Maybe
EV0002876,2022,9,Q3,USA,Urban,BMW,iX,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,59773,Multiple Incentives,10506,49267,75,12.8,Public AC Charging,2.8,Poor,24173,0.114,1206,77.8,Level 2+,Government Incentive,Diesel ICE,Range Anxiety,Male,35-44,Very Dissatisfied,Maybe
EV0002877,2022,12,Q4,Sweden,Rural,BYD,Dolphin,Plug-in Hybrid (PHEV),Sedan,Individual,25571,Free Charging,2577,22994,70,23.5,Public AC Charging,5.1,Good,8109,0.109,1958,76.5,Level 1,Performance,Diesel ICE,Range Anxiety,Male,18-24,Satisfied,Maybe
EV0002878,2024,8,Q3,UK,Urban,BYD,Seal,Battery Electric Vehicle (BEV),Hatchback,Individual,19487,Direct Subsidy,7118,12369,286,56.3,Home Charging,8.4,Average,17159,0.087,3398,56.1,Level 3,Government Incentive,Hybrid,Charging Infrastructure,Male,25-34,Satisfied,Yes
EV0002879,2021,11,Q4,UAE,Suburban,Volvo,C40 Recharge,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,42387,Tax Credit,5964,36423,488,64.9,Home Charging,6.7,Good,19003,0.088,2911,50.3,Level 2+,Technology Appeal,Diesel ICE,Range Anxiety,Male,45-54,Neutral,Yes
EV0002880,2023,8,Q3,UK,Suburban,BYD,Tang,Battery Electric Vehicle (BEV),Hatchback,Individual,20189,Reduced Registration Fee,608,19581,276,88.4,Public AC Charging,3.2,Good,16468,0.081,3761,51.2,Level 2,Government Incentive,Hybrid,High Price,Male,25-34,Very Satisfied,Maybe
EV0002881,2024,9,Q3,USA,Urban,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),SUV,Individual,39022,Direct Subsidy,11726,27296,483,94.6,Public AC Charging,4.5,Poor,12674,0.037,3601,51.4,Level 3,Environmental Concern,Diesel ICE,Charging Infrastructure,Male,45-54,Very Satisfied,Yes
EV0002882,2020,3,Q1,Spain,Urban,Volkswagen,ID.3,Plug-in Hybrid (PHEV),SUV,Individual,42297,None,0,42297,78,19.1,Public AC Charging,2.8,Average,32369,0.099,653,64.2,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Range Anxiety,Male,18-24,Satisfied,Yes
EV0002883,2024,3,Q1,Canada,Urban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),Sports Car,Rideshare/Taxi,44718,None,0,44718,458,116.9,Workplace Charging,7.6,Average,17982,0.091,3186,60.1,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Battery Life,Female,45-54,Satisfied,Yes
EV0002884,2023,3,Q1,USA,Rural,Renault,Kangoo E-Tech,Plug-in Hybrid (PHEV),SUV,Individual,32248,None,0,32248,72,23.6,Home Charging,11.0,Good,10821,0.066,1283,54.6,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Battery Life,Male,25-34,Very Satisfied,Yes
EV0002885,2023,11,Q4,Australia,Rural,Volkswagen,ID.3,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,44340,Direct Subsidy,13837,30503,59,15.9,Home Charging,11.9,Average,26735,0.073,760,64.7,Level 3,Government Incentive,Petrol/Gasoline ICE,Resale Value,Male,35-44,Satisfied,Maybe
EV0002886,2023,12,Q4,Germany,Suburban,Hyundai,IONIQ 5,Hybrid Electric (HEV),Hatchback,Individual,34370,Multiple Incentives,10251,24119,56,1.3,Workplace Charging,5.5,Excellent,13863,0.085,535,52.0,Level 1,Environmental Concern,Petrol/Gasoline ICE,None/No Concern,Male,25-34,Satisfied,Yes
EV0002887,2021,1,Q1,Sweden,Rural,Tesla,Model X,Battery Electric Vehicle (BEV),SUV,Government,48958,None,0,48958,658,58.2,Home Charging,11.1,Average,21887,0.106,3586,46.8,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Resale Value,Female,25-34,Satisfied,No
EV0002888,2021,4,Q2,Canada,Suburban,BYD,Han,Plug-in Hybrid (PHEV),SUV,Individual,32023,Tax Credit,2399,29624,54,21.1,Public AC Charging,2.6,Good,24605,0.064,869,55.9,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,None/No Concern,Male,45-54,Very Satisfied,Maybe
EV0002889,2023,2,Q1,France,Urban,Tata Motors,Tiago EV,Battery Electric Vehicle (BEV),Sedan,Individual,16685,Multiple Incentives,10938,5747,200,86.8,DC Fast Charging,1.2,Poor,12375,0.087,4350,45.2,Level 2,Technology Appeal,Diesel ICE,None/No Concern,Female,45-54,Very Satisfied,No
EV0002890,2022,3,Q1,China,Suburban,Rivian,R1S,Battery Electric Vehicle (BEV),SUV,Rideshare/Taxi,76984,Direct Subsidy,6323,70661,333,87.6,Home Charging,11.3,Average,14659,0.111,2593,72.3,Level 0,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Dissatisfied,Yes
EV0002891,2023,4,Q2,Norway,Urban,Tesla,Model S,Battery Electric Vehicle (BEV),Sedan,Individual,43951,None,0,43951,538,47.7,Supercharger Network,0.5,Average,13136,0.108,1962,69.9,Level 3,Performance,Hybrid,None/No Concern,Male,18-24,Dissatisfied,Maybe
EV0002892,2022,2,Q1,China,Suburban,BMW,iX,Battery Electric Vehicle (BEV),Sports Car,Rental Company,80089,None,0,80089,535,113.3,Home Charging,9.8,Excellent,19049,0.076,3360,57.3,Level 1,Lower Running Cost,Diesel ICE,Resale Value,Male,25-34,Satisfied,Maybe
EV0002893,2020,11,Q4,China,Rural,Hyundai,Kona Electric,Plug-in Hybrid (PHEV),Hatchback,Individual,33073,Free Charging,1937,31136,68,9.9,DC Fast Charging,0.6,Average,26748,0.083,998,77.5,Level 3,Government Incentive,First Vehicle,Resale Value,Female,18-24,Very Satisfied,Yes
EV0002894,2023,6,Q2,Germany,Suburban,Tesla,Model Y,Battery Electric Vehicle (BEV),Van/MPV,Fleet/Corporate,44079,Tax Credit,2267,41812,504,41.9,Home Charging,11.0,Excellent,19120,0.033,4489,56.7,Level 3,Brand Image,Petrol/Gasoline ICE,Charging Time,Male,35-44,Neutral,Yes
EV0002895,2023,12,Q4,India,Urban,Kia,EV6,Hybrid Electric (HEV),SUV,Individual,39999,Tax Credit,5974,34025,45,2.7,DC Fast Charging,1.3,Good,13016,0.064,362,75.0,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Very Satisfied,Yes
EV0002896,2023,8,Q3,India,Urban,Volkswagen,ID.3,Battery Electric Vehicle (BEV),SUV,Individual,39324,Direct Subsidy,5727,33597,641,84.9,Workplace Charging,5.1,Excellent,19212,0.052,3612,66.7,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Female,25-34,Very Satisfied,Maybe
EV0002897,2022,3,Q1,China,Urban,Kia,EV6,Battery Electric Vehicle (BEV),Pickup Truck,Government,44745,None,0,44745,503,43.0,Workplace Charging,6.0,Poor,33634,0.021,3030,51.4,Level 2+,Brand Image,Petrol/Gasoline ICE,Resale Value,Male,45-54,Very Satisfied,Maybe
EV0002898,2022,3,Q1,Germany,Rural,Volvo,C40 Recharge,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,57745,Direct Subsidy,6797,50948,648,72.1,Supercharger Network,0.9,Good,30459,0.078,2449,48.7,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Battery Life,Female,45-54,Satisfied,Yes
EV0002899,2021,10,Q4,Italy,Suburban,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Luxury,Individual,72075,Direct Subsidy,11224,60851,259,73.9,Home Charging,11.2,Excellent,26062,0.055,2846,72.4,Level 2,Lower Running Cost,Diesel ICE,Resale Value,Male,55-64,Very Dissatisfied,No
EV0002900,2020,4,Q2,Denmark,Urban,BYD,Tang,Battery Electric Vehicle (BEV),Van/MPV,Individual,29705,Tax Credit,4794,24911,416,44.6,DC Fast Charging,0.5,Good,38398,0.067,3839,59.4,Level 3,Government Incentive,Petrol/Gasoline ICE,Charging Time,Male,25-34,Neutral,Yes
EV0002901,2024,6,Q2,Germany,Urban,Nissan,Leaf,Battery Electric Vehicle (BEV),Hatchback,Individual,25826,None,0,25826,263,100.1,Public AC Charging,5.2,Good,20859,0.067,3960,76.9,Level 3,Lower Running Cost,Another EV,Charging Time,Prefer not to say,45-54,Very Satisfied,Yes
EV0002902,2022,12,Q4,Germany,Rural,Tesla,Model X,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,51555,Direct Subsidy,4733,46822,728,93.2,Home Charging,7.5,Excellent,22657,0.114,3374,46.2,Level 2,Environmental Concern,First Vehicle,Charging Time,Female,25-34,Satisfied,Yes
EV0002903,2022,5,Q2,Netherlands,Rural,Hyundai,Kona Electric,Battery Electric Vehicle (BEV),Pickup Truck,Rental Company,47019,Reduced Registration Fee,2507,44512,637,51.2,Home Charging,9.4,Very Poor,30179,0.11,2620,77.2,Level 3,Lower Running Cost,Another EV,High Price,Male,18-24,Very Satisfied,Yes
EV0002904,2022,8,Q3,UAE,Urban,Volvo,C40 Recharge,Battery Electric Vehicle (BEV),SUV,Individual,63494,Direct Subsidy,3216,60278,402,106.3,Supercharger Network,0.4,Good,27210,0.1,4272,67.0,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Prefer not to say,18-24,Neutral,Yes
EV0002905,2021,5,Q2,USA,Rural,Hyundai,IONIQ 5,Battery Electric Vehicle (BEV),SUV,Government,45211,Tax Credit,5829,39382,512,71.2,Public AC Charging,3.5,Poor,20284,0.092,1962,72.9,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Satisfied,Yes
EV0002906,2022,10,Q4,USA,Suburban,Tesla,Model S,Battery Electric Vehicle (BEV),SUV,Individual,49954,Direct Subsidy,6982,42972,714,50.3,Supercharger Network,0.5,Excellent,12825,0.117,3765,46.0,Level 2,Performance,Hybrid,High Price,Male,35-44,Very Satisfied,Maybe
